x,y,bbox_w,bbox_h,type_code,type_name,place_name,level,variant,instance_id,template_key
1685,68,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1374,69,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1520,69,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1552,69,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1131,70,2,2,4,Settlement (Town),,2,0b,4572143029366277926,poiNode__town_lvl2_iron_dorne_alpha
1278,70,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1363,70,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1669,70,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
902,71,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1073,71,2,2,4,Settlement (Town),,2,07,12430922041646588100,poiNode__town_lvl2_stone_dorne_alpha
1192,71,1,2,2,Crossing,,1,03,186484103584441603,poiNode__crossing_lvl1_alpha
1488,71,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1016,72,2,2,4,Crossing,,2,,17576595532914463501,poiNode__crossing_lvl2_alpha
1335,72,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1316,73,3,5,15,Bridge,,3,9148,4908333263510868557,poiNode__bridge_5hex_lvl3_alpha
1582,73,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1632,73,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1086,74,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1289,74,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1009,75,2,2,4,Crossing,,2,06,17576595532914463501,poiNode__crossing_lvl2_alpha
1234,75,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1433,75,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
776,77,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1200,77,2,2,4,Settlement (Town),,2,07,17244005265719231113,poiNode__town_lvl2_wood_dorne_alpha
1472,77,2,2,4,Settlement (Town),,3,07,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
1036,78,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1229,78,2,2,4,Settlement (Town),,2,0b,17244005265719231113,poiNode__town_lvl2_wood_dorne_alpha
1244,78,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1456,78,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
940,79,2,2,4,Settlement (Town),,2,07,12430922041646588100,poiNode__town_lvl2_stone_dorne_alpha
868,80,2,2,4,Settlement (Town),,2,0b,17244005265719231113,poiNode__town_lvl2_wood_dorne_alpha
1074,80,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1172,80,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1411,80,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1544,80,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1651,81,2,2,4,Settlement (Town),,3,07,1663067788791778725,poiNode__town_lvl3_iron_dorne_alpha
823,82,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1334,82,2,2,4,Settlement (Town),,3,0b,431345790414121969,poiNode__town_lvl3_food_dorne_alpha
1419,82,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1643,82,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1663,82,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1381,83,2,2,4,Settlement (Town),,3,07,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
1514,83,2,2,4,Settlement (Town),,3,07,431345790414121969,poiNode__town_lvl3_food_dorne_alpha
1537,83,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1579,83,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1564,84,2,2,4,Settlement (Town),,3,0b,1663067788791778725,poiNode__town_lvl3_iron_dorne_alpha
978,85,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
878,87,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1490,87,2,2,4,Settlement (Town),,3,07,1793729568005850773,poiNode__town_lvl3_stone_dorne_alpha
1735,87,2,2,4,Settlement (Town),,3,07,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
778,89,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1474,89,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1414,90,2,2,4,Settlement (Town),,3,0b,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
1714,90,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
964,91,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1325,91,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1350,91,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1114,93,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1626,93,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1000,94,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1146,94,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1518,94,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1607,94,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1792,94,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1580,95,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1774,95,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
844,96,3,5,15,Bridge,,2,9412,1498553686271999927,poiNode__bridge_5hex_lvl2_alpha
1091,96,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1102,96,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1467,96,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1536,96,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1121,97,3,5,15,Bridge,,1,a414,16551278857259698617,poiNode__bridge_5hex_lvl1_alpha
1198,97,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1344,97,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1442,97,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1067,98,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1593,98,2,2,4,Settlement (Town),,3,0b,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
1427,99,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1060,100,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1238,101,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1647,101,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1723,101,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
978,102,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1254,103,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1376,103,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1568,103,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1701,103,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1715,103,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1800,104,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
961,105,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1612,105,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
791,106,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1399,106,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
780,107,2,2,4,Settlement (Town),,2,07,4572143029366277926,poiNode__town_lvl2_iron_dorne_alpha
1412,107,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1757,107,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1146,108,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1639,108,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1020,109,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1053,109,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1058,109,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1466,109,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1519,109,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1669,109,5,1,5,Bridge,,2,1f,1498553686271999927,poiNode__bridge_5hex_lvl2_alpha
861,110,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1428,110,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1513,110,3,1,3,Bridge,,2,07,6488258009797769972,poiNode__bridge_3hex_lvl2_alpha
1732,110,2,2,4,Settlement (Town),,3,0b,1663067788791778725,poiNode__town_lvl3_iron_dorne_alpha
1189,111,2,2,4,Settlement (Town),,2,07,3286385545442074994,poiNode__town_lvl2_food_dorne_alpha
1604,111,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1707,111,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1747,111,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1765,111,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1091,112,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1377,112,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1074,113,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1100,113,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1207,113,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1675,113,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1738,113,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1177,114,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1364,114,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1417,114,2,2,4,Settlement (Town),,3,0b,1793729568005850773,poiNode__town_lvl3_stone_dorne_alpha
1811,114,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1620,115,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1852,115,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1657,116,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1825,117,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1358,118,2,2,4,Settlement (Town),,3,0b,1793729568005850773,poiNode__town_lvl3_stone_dorne_alpha
1874,118,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
809,119,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1290,119,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1413,119,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1488,119,2,2,4,Settlement (Town),,3,07,1793729568005850773,poiNode__town_lvl3_stone_dorne_alpha
1547,119,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
478,120,2,2,4,Tunnel,,2,06,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
1460,120,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1470,120,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1384,121,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1762,121,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
825,122,2,2,4,Tunnel,,2,06,15351316214017112016,poiNode__tunnel_lvl2_dorne_alpha
1095,122,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1446,122,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1562,122,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1573,122,3,5,15,Bridge,,2,8944,1498553686271999927,poiNode__bridge_5hex_lvl2_alpha
1391,123,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1633,123,2,2,4,Settlement (Town),,3,07,431345790414121969,poiNode__town_lvl3_food_dorne_alpha
999,124,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1697,124,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
475,125,2,2,4,Tunnel,,2,,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
495,125,2,2,4,Crossing,,2,,17576595532914463501,poiNode__crossing_lvl2_alpha
503,125,1,2,2,Crossing,,2,03,17576595532914463501,poiNode__crossing_lvl2_alpha
940,125,2,2,4,Settlement (Town),,2,07,3286385545442074994,poiNode__town_lvl2_food_dorne_alpha
1233,125,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1333,126,2,2,4,Crossing,,3,06,11761877450986962679,poiNode__crossing_lvl3_alpha
821,127,2,2,4,Tunnel,,2,06,15351316214017112016,poiNode__tunnel_lvl2_dorne_alpha
1164,127,5,1,5,Bridge,,1,1f,16551278857259698617,poiNode__bridge_5hex_lvl1_alpha
1598,127,2,2,4,Settlement (Town),,3,07,14350975191467345930,poiNode__town_lvl3_wood_dorne_alpha
423,128,1,2,2,Tunnel,,2,03,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
518,128,1,2,2,Crossing,,2,03,17576595532914463501,poiNode__crossing_lvl2_alpha
964,128,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1119,128,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1328,128,1,2,2,Crossing,,3,03,11761877450986962679,poiNode__crossing_lvl3_alpha
1842,128,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1854,128,2,2,4,Settlement (Town),,4,0b,1199463739729931124,poiNode__town_lvl4_stone_dorne_alpha
527,129,1,2,2,Crossing,,2,03,17576595532914463501,poiNode__crossing_lvl2_alpha
794,129,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1132,129,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1285,129,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1515,130,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1308,131,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1386,131,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1464,131,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
425,132,2,1,2,Tunnel,,2,03,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
1297,132,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1899,132,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
880,133,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1448,133,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1396,134,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1414,134,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1674,134,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1794,134,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
539,135,2,2,4,Crossing,,1,,186484103584441603,poiNode__crossing_lvl1_alpha
1367,135,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1601,135,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1828,135,2,2,4,Settlement (Town),,4,07,1199463739729931124,poiNode__town_lvl4_stone_dorne_alpha
547,136,2,2,4,Crossing,,1,,186484103584441603,poiNode__crossing_lvl1_alpha
1403,137,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
777,138,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1571,138,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1286,139,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1875,139,3,3,9,Castle,,4,b700,4410804331401344068,poiNode__castle_lvl4_dorne_alpha
1925,139,6,5,30,Great House Capital,Sunspear,,8ef7f91e,15169895494724241487,poiNode__capital_Sunspear_alpha
903,140,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1862,140,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1139,141,2,2,4,Settlement (Town),,2,07,12430922041646588100,poiNode__town_lvl2_stone_dorne_alpha
1808,141,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
411,142,2,2,4,Tunnel,,2,06,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
1029,142,2,2,4,Settlement (Town),,2,0b,3286385545442074994,poiNode__town_lvl2_food_dorne_alpha
1476,142,1,2,2,Crossing,,3,03,11761877450986962679,poiNode__crossing_lvl3_alpha
1295,143,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1332,143,3,3,9,Castle,,3,b700,14456418997839286798,poiNode__castle_lvl3_dorne_alpha
1385,143,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1430,143,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1758,143,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
962,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1195,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1233,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1584,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1613,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1651,144,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1147,146,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1171,146,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1322,146,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1377,146,4,3,12,Seat of Power,Vaith,,f707,18131952485783192308,poiNode__sop_Vaith_alpha
405,147,2,2,4,Tunnel,,2,,1315898000168475582,poiNode__tunnel_lvl2_crownlands_alpha
582,148,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
637,148,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1023,149,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1642,149,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1402,150,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
1606,150,1,1,1,Ruin,,1,01,17522881336283509828,poiNode__ruin_lvl1_dorne_alpha
