key,name,description,icon,ability_key
habit_dragon_bevlorin_slot5_01,Vital Essence,"At the start of combat, increase your <style=""Inline_Dragon_Strength"">Strength</style> by {effect_group=1:effect=1:base_mod} and your </style><style=""Inline_Recovery""></style>Recovery</style> Dealt by {effect_group=1:effect=2:base_mod} until the end of combat.",Icon_DragonAbility_Habit_VitalEssence_03.png,ability_habit_rare_vitalessence_01
habit_dragon_bevlorin_slot6_01,Bountiful Gifts,"Each round, {effect_group=1:trigger_chance} chance to increase the <style=""Inline_Dragon_Strength"">Strength</style> of the Ally with the highest <style=""Inline_Dragon_Strength"">Strength</style>, the <style=""Inline_Dragon_Intelligence"">Intelligence</style> of the Ally with the highest <style=""Inline_Dragon_Intelligence"">Intelligence</style>, the <style=""Inline_Dragon_Instinct"">Instinct</style> of the Ally with the highest <style=""Inline_Dragon_Instinct"">Instinct</style>, and the <style=""Inline_Dragon_Speed"">Initiative</style> of the Ally with the highest <style=""Inline_Dragon_Speed"">Initiative</style> by {effect_group=1:effect=1:base_mod} (enhanced by <style=""Inline_Dragon_Intelligence"">Intelligence</style>) for {effect_group=1:duration_rounds} round(s). The chance is checked separately per target.",Icon_DragonAbility_Habit_BountifulGifts_03.png,ability_habit_rare_bountifulgifts_01
habit_dragon_arulix_slot1_01,Champion's Brilliance,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Dragon_Strength"">Strength</style>, <style=""Inline_Dragon_Intelligence"">Intelligence</style>, and <style=""Inline_Dragon_Instinct"">Instinct</style> by <style=""Inline_Positive"">+15</style>. Reduce Damage Received by <style=""Inline_Positive"">-8%</style> of the Ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>. ",Icon_DragonAbility_Habit_ChampionsBrilliance_03.png,ability_habit_rare_championsbrilliance_01
habit_dragon_arulix_slot2_01,Hypnotic Helix,"<style=""Inline_Underline"">Rounds 1, 3, 6, 8</style>: {effect_group=1:trigger_chance} chance to <style=""Inline_Debuff"">Overwhelm</style> {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} for {effect_group=1:duration_rounds} round(s) (prioritize <style=""Inline_Damage_Fire"">Fire</style> Damage dealers).
<style=""Inline_Debuff"">Overwhelm</style> prevents the target from using <style=""Inline_Command"">Active Commands</style> and <style=""Inline_Habit"">Habits</style> on their turn.

<style=""Inline_Underline"">Rounds 2, 4, 7, 9</style>: {effect_group=2:trigger_chance} chance to <style=""Inline_Debuff"">Stagger</style> {effect_group=2:number_of_targets} {effect_group=2:target_type} {effect_group=2:target_range} for {effect_group=2:duration_rounds} round(s) (prioritize <style=""Inline_Damage_Physical"">Physical</style> Damage dealers).
<style=""Inline_Debuff"">Stagger</style> prevents the target from using <style=""Inline_Command"">Attack Modifier Commands</style> or launching <style=""Inline_Attack"">Basic Attacks</style> on their turn.",Icon_DragonAbility_Habit_HypnoticHelix_03.png,ability_habit_rare_hypnotichelix_01
habit_dragon_arulix_slot3_01,Battle Cunning,"<style=""Inline_Underline"">Start of Combat</style>: Reduce <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Intelligence"">Intelligence</style> by {effect_group=1:effect=1:base_mod} (enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>) of 3 Enemies in any lane until the end of combat.",Icon_DragonAbility_Habit_BattleCunning_05.png,ability_habit_rare_battlecunning_01
habit_dragon_arulix_slot4_01,Spiral Surge,"<style=""Inline_Underline"">Rounds 1, 2, 3, 5, 8</style>: Deal <style=""Inline_Damage_Physical"">Physical</style> Damage to {ability=ability_command_rare_gleamingspiral_01:effect_group=3:number_of_targets} {ability=ability_command_rare_gleamingspiral_01:effect_group=3:target_type} {ability=ability_command_rare_gleamingspiral_01:effect_group=3:target_range} (Damage Rate:{ability=ability_command_rare_gleamingspiral_01:effect_group=3:effect=1:base_mod}). This damage is increased by 1.5x ({ability=ability_command_rare_gleamingspiral_01:effect_group=4:effect=1:base_mod}) on Round 5 and by 2x ({ability=ability_command_rare_gleamingspiral_01:effect_group=5:effect=1:base_mod}) on Round 8.",Icon_DragonAbility_Habit_SpiralSurge_03.png,ability_habit_dpsphysical_01
habit_dragon_arulix_slot5_01,Iron Shell,"<style=""Inline_Underline"">Start of Combat:</style> Reduce <style=""Inline_Damage_Physical"">Physical</style> Damage Received (excluding <style=""Inline_Attack"">Basic Attacks</style>) and <style=""Inline_Damage_Fire"">Fire</style> Damage Received of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_IronShell_04.png,ability_habit_rare_ironshell_01
habit_dragon_arulix_slot6_01,Mimicry,"<style=""Inline_Underline"">Start of each Round:</style> If any ally is afflicted with <style=""Inline_Debuff"">Weakened</style> or <style=""Inline_Debuff"">Vulnerable</style>, there is a {effect_group=3:trigger_chance} chance to apply that same effect to {effect_group=3:number_of_targets} {effect_group=3:target_type} {effect_group=3:target_range} for {effect_group=3:duration_rounds} round(s).

<style=""Inline_Underline"">Start of each Round:</style> If any enemy is enhanced by <style=""Inline_Buff"">Advantage</style> or <style=""Inline_Buff"">Resistance</style>, there is a {effect_group=1:trigger_chance} chance to apply that same effect to {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} for {effect_group=1:duration_rounds} round(s).",Icon_DragonAbility_Habit_Mimicry_03.png,ability_habit_rare_mimicry_01
habit_dragon_nyrena_slot1_01,Champion's Brilliance,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Dragon_Strength"">Strength</style>, <style=""Inline_Dragon_Intelligence"">Intelligence</style>, and <style=""Inline_Dragon_Instinct"">Instinct</style> by <style=""Inline_Positive"">+15</style>. Reduce Damage Received by <style=""Inline_Positive"">-8%</style> of the Ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>. ",Icon_DragonAbility_Habit_ChampionsBrilliance_03.png,ability_habit_rare_championsbrilliance_01
habit_dragon_nyrena_slot2_01,Battle Dread,"<style=""Inline_Underline"">Start of Combat:</style> Reduce the <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Speed"">Initiative</style> (enhanced by <style=""Inline_Dragon_Intelligence"">Intelligence</style>) of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_BattleDread_04.png,ability_habit_rare_battledread_01
habit_dragon_nyrena_slot3_01,Mindful Synergy,"<style=""Inline_Underline"">Start of Combat:</style> Increase the <style=""Inline_Dragon_Intelligence"">Intelligence</style> and <style=""Inline_Dragon_Instinct"">Instinct</style> (enhanced by <style=""Inline_Dragon_Speed"">Initiative</style>) of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_MindfulSynergy_04.png,ability_habit_rare_mindfulsynergy_01
habit_dragon_nyrena_slot4_01,Deepen The Breach,"<style=""Inline_Underline"">Start of Round 1</style>: Increase your <style=""Inline_Damage_Fire"">Fire</style> Damage Dealt by {effect_group=2:effect=1:base_mod} for {effect_group=2:duration_rounds} round(s).

<style=""Inline_Underline"">Start of Round 6</style>: Increase the <style=""Inline_Damage_Fire"">Fire</style> Damage Dealt of {effect_group=3:number_of_targets} {effect_group=3:target_type} {effect_group=3:target_range} by {effect_group=3:effect=1:base_mod} for {effect_group=3:duration_rounds} round(s).

<style=""Inline_Underline"">After Combat</style>: Increase your <style=""Inline_Durability"">Tile Damage</style> Dealt to the tile's durability.",Icon_DragonAbility_Habit_DeepenTheBreach_03.png,ability_habit_rare_deepenthebreach_01
habit_dragon_nyrena_slot5_01,Dragon's Ire,"<style=""Inline_Underline"">Start of Combat</style>: Increase your <style=""Inline_Damage_Tactical"">Tactical</style> and <style=""Inline_Damage_Fire"">Fire</style> Damage Dealt by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsIre_03.png,ability_habit_rare_dragonsire_01
habit_dragon_nyrena_slot6_01,The Long Siege,"<style=""Inline_Underline"">Start of Rounds 6-10</style>: Reduce the <style=""Inline_Damage_Physical"">Physical</style> Damage Received of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} by {effect_group=1:effect=1:base_mod} until the end of the round.  <style=""Inline_Bold"">When Defending</style>, double this effect ({effect_group=2:effect=1:base_mod}).",Icon_DragonAbility_Habit_TheLongSiege_03.png,ability_habit_rare_thelongsiege_01
habit_dragon_antares_slot1_01,Hunter's Wrath,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Damage_Fire"">Fire Damage</style> Dealt by <style=""Inline_Positive"">+16%</style>. Increase <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by <style=""Inline_Positive"">+20</style> of the Ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>.",Icon_DragonAbility_Habit_HuntersWrath_03.png,ability_habit_rare_hunterswrath_01
habit_dragon_antares_slot2_01,Blazing Onslaught,"<style=""Inline_Underline"">Start of Round 1</style>: Increase <style=""Inline_Damage_Fire"">Fire</style> Damage Received of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} (prioritizes the <style=""Inline_LeftFlank"">Left Flank</style>) and  <style=""Inline_Damage_Physical"">Physical</style> Damage Received (excluding <style=""Inline_Attack"">Basic Attacks</style>) of {effect_group=2:number_of_targets} {effect_group=2:target_type} {effect_group=2:target_range} (prioritizes the <style=""Inline_RightFlank"">Right Flank</style>) by {effect_group=1:effect=1:base_mod} for {effect_group=1:duration_rounds} round(s).",Icon_DragonAbility_Habit_BlazingOnslaught_04.png,ability_habit_rare_blazingonslaught_01
habit_dragon_antares_slot3_01,Dragon's Flair,"<style=""Inline_Underline"">Start of Combat</style>: Increase your <style=""Inline_Damage_Fire"">Fire Damage</style> Dealt by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsFlair_05.png,ability_habit_rare_dragonsflair_01
habit_dragon_antares_slot4_01,Fiery Precision,"<style=""Inline_Command"">Relentless Pursuit</style> gains:
Each round, deal {ability=ability_command_rare_relentlesspursuit_01:effect_group=3:effect=1:damage_type} Damage to {ability=ability_command_rare_relentlesspursuit_01:effect_group=3:number_of_targets} {ability=ability_command_rare_relentlesspursuit_01:effect_group=3:target_type} {ability=ability_command_rare_relentlesspursuit_01:effect_group=3:target_range} afflicted with <style=""Inline_Debuff"">Slow</style> (Damage Rate: {ability=ability_command_rare_relentlesspursuit_01:effect_group=3:effect=1:base_mod}).",Icon_DragonAbility_Habit_FieryPrecision_03.png,ability_habit_rare_null_01
habit_dragon_antares_slot5_01,Dragon's Intellect,"<style=""Inline_Underline"">Start of Combat</style>: Reduce your Damage Received by {effect_group=1:effect=1:base_mod} and increase your <style=""Inline_Dragon_Intelligence"">Intelligence</style> by {effect_group=1:effect=2:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsIntellect_03.png,ability_habit_rare_dragonsintellect_01
habit_dragon_antares_slot6_01,Redemption,"<style=""Inline_Underline"">Start of Combat</style>: Increase your <style=""Inline_Dragon_Intelligence"">Intelligence</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by {effect_group=1:effect=1:base_mod} until the end of combat.

Start of <style=""Inline_Underline"">Each Round</style>: {effect_group=2:trigger_chance} chance to grant yourself <style=""Inline_Buff"">Immunity</style> to both <style=""Inline_Debuff"">Vulnerable</style> and <style=""Inline_Debuff"">Weakened</style> for {effect_group=2:duration_rounds} round(s).",Icon_DragonAbility_Habit_Redemption_03.png,ability_habit_rare_redemption_01
habit_dragon_jagadrix_slot1_01,Hunter's Wrath,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Damage_Fire"">Fire Damage</style> Dealt by <style=""Inline_Positive"">+16%</style>. Increase <style=""Inline_Dragon_Strength"">Strength</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by <style=""Inline_Positive"">+20</style> of the Ally deployed in the <style=""Inline_RightFlank"">Right Flank</style>.",Icon_DragonAbility_Habit_HuntersWrath_03.png,ability_habit_rare_hunterswrath_01
habit_dragon_jagadrix_slot2_01,Enervate,"<style=""Inline_Underline"">Start of Combat</style>: Reduce <style=""Inline_Damage_Tactical"">Tactical</style> Damage Dealt by {effect_group=1:effect=1:base_mod} of 1 Enemy that deals <style=""Inline_Damage_Tactical"">Tactical</style> Damage until the end of combat.",Icon_DragonAbility_Habit_Enervate_03.png,ability_habit_rare_enervate_01
habit_dragon_jagadrix_slot3_01,Second Wind,"<style=""Inline_Underline"">Round 6</style>: Increase your <style=""Inline_Bold"">Damage Dealt</style> by {effect_group=1:effect=1:base_mod} until the end of combat. Additionally, apply <style=""Inline_Recovery"">Recovery</style> (Recovery Rate: {effect_group=2:effect=1:base_mod}) to yourself. Then, afflict yourself with <style=""Inline_Debuff"">Nullify Recovery</style> until the end of combat. <style=""Inline_Debuff"">Nullify Recovery</style> prevents the target from receiving <style=""Inline_Recovery"">Recovery</style>.",Icon_DragonAbility_Habit_SecondWind_03.png,ability_habit_rare_secondwind_01
habit_dragon_jagadrix_slot4_01,Whispering Sabotage,"<style=""Inline_Underline"">Each Round</style>: {effect_group=1:trigger_chance} chance to afflict {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} with <style=""Inline_Debuff"">Weakened</style> ({effect_group=1:effect=1:base_mod}) for {effect_group=1:duration_rounds} round(s).

<style=""Inline_Debuff"">Weakened</style> reduces the target's Damage Dealt.",Icon_DragonAbility_Habit_WhisperingSabotage_03.png,ability_habit_rare_whisperingsabotage_01
habit_dragon_jagadrix_slot5_01,Quick-Witted,"<style=""Inline_Underline"">Start of Combat</style>: Increase your <style=""Inline_Dragon_Intelligence"">Intelligence</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by {effect_group=1:effect=1:base_mod} until the end of combat.",Icon_DragonAbility_Habit_QuickWitted_05.png,ability_habit_rare_quickwitted_01
habit_dragon_jagadrix_slot6_01,Echoes of Deceit,"<style=""Inline_Command"">Cunning Whispers</style> gains:
<style=""Inline_Underline"">Round 1</style>: Reduce the <style=""Inline_Dragon_Instinct"">Instinct</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by {ability=ability_command_rare_cunningwhispers_01:effect_group=3:effect=1:base_mod} (enhanced by <style=""Inline_Dragon_Speed"">Initiative</style>) of the enemy with the highest <style=""Inline_Dragon_Instinct"">Instinct</style> until the end of combat.

<style=""Inline_Underline"">Rounds 3, 6, 9</style>: Deal {ability=ability_command_rare_cunningwhispers_01:effect_group=4:effect=1:damage_type} Damage to all enemies that deal <style=""Inline_Damage_Tactical"">Tactical</style> Damage (Damage Rate: {ability=ability_command_rare_cunningwhispers_01:effect_group=4:effect=1:base_mod}). This damage is doubled if the target is afflicted with <style=""Inline_Damage_Tactical"">Panic</style>.",Icon_DragonAbility_Habit_EchoesofDeceit_03.png,ability_habit_rare_null_01
habit_dragon_shimmer_slot1_01,Sentinel's Presence,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Recovery"">Recovery</style> Dealt by <style=""Inline_Positive"">+15%</style> and <style=""Inline_Dragon_Instinct"">Instinct</style> by <style=""Inline_Positive"">+25</style>. Increase <style=""Inline_Damage_Fire"">Fire Damage</style> Dealt by <style=""Inline_Positive"">+16%</style> of the Ally deployed in the <style=""Inline_LeftFlank"">Left Flank</style>.",Icon_DragonAbility_Habit_SentinelsPresence_03.png,ability_habit_rare_sentinelspresence_01
habit_dragon_shimmer_slot2_01,Crushing Force,"<style=""Inline_Underline"">Start of Round 1</style>: Increase the <style=""Inline_Damage_Physical"">Physical</style> Damage Dealt (<style=""Inline_Command""></style><style=""Inline_Habit""></style>) of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} (prioritizes the <style=""Inline_LeftFlank"">Left Flank</style>) and the <style=""Inline_Damage_Tactical"">Tactical</style> Damage Dealt of {effect_group=2:number_of_targets} {effect_group=2:target_type} {effect_group=2:target_range} (prioritizes the <style=""Inline_RightFlank"">Right Flank</style>) by {effect_group=1:effect=1:base_mod} for {effect_group=1:duration_rounds} round(s).",Icon_DragonAbility_Habit_CrushingForce_03.png,ability_habit_rare_crushingforce_01
habit_dragon_shimmer_slot3_01,Dragon's Insight,"<style=""Inline_Underline"">Start of Combat</style>: Reduce your Damage Received by {effect_group=1:effect=1:base_mod} and increase your <style=""Inline_Dragon_Instinct"">Instinct</style> by {effect_group=1:effect=2:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsInsight_03.png,ability_habit_rare_dragonsinsight_01
habit_dragon_shimmer_slot4_01,Loyal Shield,"<style=""Inline_Command"">Unbreakable Loyalty</style> gains:
<style=""Inline_Underline"">Rounds 2, 4, 7, 9</style>: Apply <style=""Inline_Recovery"">Recovery</style> to {ability=ability_command_rare_unbreakableloyalty_01:effect_group=3:number_of_targets} {ability=ability_command_rare_unbreakableloyalty_01:effect_group=3:target_type} {ability=ability_command_rare_unbreakableloyalty_01:effect_group=3:target_range} (Recovery Rate: {ability=ability_command_rare_unbreakableloyalty_01:effect_group=3:effect=1:base_mod}, enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>). The amount of <style=""Inline_Recovery"">Recovery</style> is doubled if the target has <style=""Inline_Buff"">Resistance</style> (Recovery Rate: {ability=ability_command_rare_unbreakableloyalty_01:effect_group=4:effect=1:base_mod}, enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>).",Icon_DragonAbility_Habit_LoyalShield_03.png,ability_habit_rare_null_01
habit_dragon_shimmer_slot5_01,Unbroken Devotion,"<style=""Inline_Underline"">Start of Combat</style>: Increase <style=""Inline_Recovery"">Recovery</style> Received by {effect_group=1:effect=1:base_mod} of {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} until the end of combat.",Icon_DragonAbility_Habit_UnbrokenDevotion_03.png,ability_habit_rare_unbrokendevotion_01
habit_dragon_shimmer_slot6_01,Sneak Attack,"<style=""Inline_Underline"">Each Round</style>: {effect_group=1:trigger_chance} chance to increase <style=""Inline_Damage_Physical"">Physical</style> Damage Dealt by {effect_group=1:effect=1:base_mod} and grant <style=""Inline_Buff"">First-Strike</style> to the Other Ally with the highest <style=""Inline_Dragon_Strength"">Strength</style> for {effect_group=1:duration_rounds} round(s). <style=""Inline_Buff"">First-Strike</style> causes the target to attack before all other combatants each round.",Icon_DragonAbility_Habit_SneakAttack_03.png,ability_habit_rare_sneakattack_01
habit_dragon_vesper_slot1_01,Sentinel's Wit,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Damage_Tactical"">Tactical Damage</style> Dealt by <style=""Inline_Positive"">+16%</style>. Increase <style=""Inline_Dragon_Instinct"">Instinct</style> and <style=""Inline_Dragon_Speed"">Initiative</style> by <style=""Inline_Positive"">+20</style> of the Ally deployed in the <style=""Inline_LeftFlank"">Left Flank</style>.",Icon_DragonAbility_Habit_SentinelsWit_03.png,ability_habit_rare_sentinelswit_01
habit_dragon_vesper_slot2_01,Strategic Leader,"<style=""Inline_Underline"">Start of Combat</style>: Increase <style=""Inline_Damage_Tactical"">Tactical</style> Damage Dealt by {effect_group=1:effect=1:base_mod} of 1 Ally in any lane (prioritizes the <style=""Inline_Vanguard"">Vanguard</style>) until the end of combat.",Icon_DragonAbility_Habit_StrategicLeader_03.png,ability_habit_rare_strategicleader_01
habit_dragon_vesper_slot3_01,Dragon's Insight,"<style=""Inline_Underline"">Start of Combat</style>: Reduce your Damage Received by {effect_group=1:effect=1:base_mod} and increase your <style=""Inline_Dragon_Instinct"">Instinct</style> by {effect_group=1:effect=2:base_mod} until the end of combat.",Icon_DragonAbility_Habit_DragonsInsight_03.png,ability_habit_rare_dragonsinsight_01
habit_dragon_vesper_slot4_01,Savior's Waltz,"<style=""Inline_Underline"">Each Round</style>: {effect_group=1:trigger_chance} chance to apply <style=""Inline_Buff"">Resistance</style> ({effect=1:base_mod}) to yourself and 1 other Ally within adjacency for {effect_group=1:duration_rounds} round(s). <style=""Inline_Buff"">Resistance</style> reduces the target's Damage Received.",Icon_DragonAbility_Habit_SaviorsWaltz_03.png,ability_habit_rare_saviorswaltz_01
habit_dragon_vesper_slot5_01,Insightful Allies,"<style=""Inline_Underline"">Start of Combat</style>: Increase <style=""Inline_Dragon_Instinct"">Instinct</style> by {effect_group=1:effect=1:base_mod} (enhanced by <style=""Inline_Dragon_Instinct"">Instinct</style>) of 3 Allies in any lane until the end of combat.",Icon_DragonAbility_Habit_InsightfulAllies_04.png,ability_habit_rare_insightfulallies_01
habit_dragon_vesper_slot6_01,Midnight Onslaught,"<style=""Inline_Underline"">Rounds 6-10</style>: {effect_group=1:trigger_chance} chance to afflict <style=""Inline_Debuff"">Confusion</style> on {effect_group=1:number_of_targets} {effect_group=1:target_type} {effect_group=1:target_range} for {effect_group=1:duration_rounds} round(s). <style=""Inline_Debuff"">Confusion</style> causes the target to have a 50% chance to mistake Allies for Enemies and vice versa each time they activate a <style=""Inline_Command"">Command</style> or <style=""Inline_Habit"">Habit</style>, or launch a <style=""Inline_Attack"">Basic Attack</style> on their turn.",Icon_DragonAbility_Habit_MidnightOnslaught_03.png,ability_habit_rare_midnightonslaught_01
habit_dragon_dawnseeker_slot1_01,Sentinel's Presence,"<style=""Inline_Bold"">At Level 16+ and deployed in the</style> <style=""Inline_Vanguard"">Vanguard</style>
Increase your <style=""Inline_Recovery"">Recovery</style> Dealt by <style=""Inline_Positive"">+15%</style> and <style=""Inline_Dragon_Instinct"">Instinct</style> by <style=""Inline_Positive"">+25</style>. Increase <style=""Inline_Damage_Fire"">Fire Damage</style> Dealt by <style=""Inline_Positive"">+16%</style> of the Ally deployed in the <style=""Inline_LeftFlank"">Left Flank</style>.",Icon_DragonAbility_Habit_SentinelsPresence_03.png,ability_habit_rare_sentinelspresence_01
